n,a,k,L,d
917,1253,2,626,1
918,1254,7,179,1
919,1255,7,179,2
920,1257,5,251,2
921,1259,3,419,2
922,1261,2,630,1
923,1262,13,97,1
924,1263,2,631,1
925,1264,3,421,1
926,1265,2,632,1
927,1266,5,253,1
928,1267,2,633,1
929,1268,7,181,1
930,1269,2,634,1
931,1270,3,423,1
932,1271,3,423,2
933,1273,31,41,2
934,1275,2,637,1
935,1276,3,425,1
936,1277,2,638,1
937,1278,1277,1,1
938,1279,1277,1,2
939,1281,1279,1,2
940,1283,2,641,1
941,1284,1283,1,1
942,1285,2,642,1
943,1286,5,257,1
944,1287,2,643,1
945,1288,3,429,1
946,1289,2,644,1
947,1290,1289,1,1
948,1291,2,645,1
949,1292,1291,1,1
950,1293,2,646,1
951,1294,3,431,1
952,1295,3,431,2
953,1297,2,648,1
954,1298,1297,1,1
955,1299,1297,1,2
956,1301,2,650,1
957,1302,1301,1,1
958,1303,1301,1,2
959,1305,1303,1,2
960,1307,3,435,2
961,1309,2,654,1
962,1310,7,187,1
963,1311,7,187,2
964,1313,3,437,2
965,1315,2,657,1
966,1316,5,263,1
967,1317,2,658,1
968,1318,3,439,1
969,1319,2,659,1
970,1320,1319,1,1
971,1321,1319,1,2
972,1323,1321,1,2
973,1325,2,662,1
974,1326,5,265,1
975,1327,5,265,2
976,1329,2,664,1
977,1330,3,443,1
978,1331,3,443,2
979,1333,2,666,1
980,1334,31,43,1
981,1335,2,667,1
982,1336,3,445,1
983,1337,2,668,1
984,1338,7,191,1
985,1339,2,669,1
986,1340,13,103,1
987,1341,2,670,1
988,1342,3,447,1
989,1343,3,447,2
990,1345,17,79,2
991,1347,5,269,2
992,1349,2,674,1
993,1350,19,71,1
994,1351,19,71,2
995,1353,7,193,2
996,1355,2,677,1
997,1356,5,271,1
998,1357,2,678,1
999,1358,5,271,3
1000,1361,2,680,1
